                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87021,                0.75178,                 1.1048,                0.84781,                0.80593,                0.84843,                0.62941,                0.90275,                0.72759,                 1.1466,             0.00061203,             0.00061203,             0.00061203
                     36,                0.85767,                0.74135,                 1.0969,                0.85313,                0.80218,                0.85464,                0.64012,                 0.8978,                0.70863,                 1.1204,             0.00060303,             0.00060303,             0.00060303
                     37,                  0.859,                0.73816,                 1.1011,                 0.8244,                0.79668,                0.84975,                 0.6409,                0.89533,                 0.7153,                 1.1247,             0.00059403,             0.00059403,             0.00059403
                     38,                0.84564,                0.72657,                 1.0925,                0.84245,                0.79025,                0.84396,                0.63902,                0.88564,                0.72492,                 1.1202,             0.00058503,             0.00058503,             0.00058503
                     39,                0.83525,                0.71191,                 1.0842,                0.86619,                 0.7835,                0.85623,                 0.6526,                0.88832,                0.68008,                  1.122,             0.00057603,             0.00057603,             0.00057603
                     40,                0.83777,                 0.7138,                 1.0861,                0.82372,                0.82473,                0.85825,                0.64906,                0.87053,                0.69293,                 1.1117,             0.00056703,             0.00056703,             0.00056703
                     41,                0.81929,                0.69345,                   1.08,                0.85162,                0.80016,                 0.8498,                0.64885,                0.88123,                0.67925,                 1.1194,             0.00055804,             0.00055804,             0.00055804
                     42,                0.80744,                0.67849,                 1.0731,                0.85498,                0.79549,                0.85685,                0.65031,                0.88131,                0.67702,                 1.1197,             0.00054904,             0.00054904,             0.00054904
                     43,                 0.8166,                 0.6866,                 1.0755,                0.86437,                0.80944,                 0.8574,                0.66138,                0.86807,                0.67428,                 1.1137,             0.00054004,             0.00054004,             0.00054004
                     44,                0.80724,                0.67026,                 1.0723,                0.87209,                0.79923,                0.86906,                0.65787,                0.88669,                0.67631,                 1.1156,             0.00053104,             0.00053104,             0.00053104
                     45,                0.79908,                0.67086,                  1.072,                0.87116,                0.77881,                0.86018,                0.65306,                0.85953,                0.67939,                   1.11,             0.00052204,             0.00052204,             0.00052204
                     46,                0.78049,                 0.6494,                 1.0564,                0.85221,                0.81414,                0.85784,                0.66684,                0.84816,                0.65905,                 1.1025,             0.00051304,             0.00051304,             0.00051304
                     47,                0.78438,                0.65213,                 1.0588,                0.86091,                0.80289,                0.85702,                0.66436,                0.85414,                0.66138,                 1.1005,             0.00050404,             0.00050404,             0.00050404
                     48,                0.77462,                0.63801,                 1.0534,                0.86465,                0.82271,                0.87601,                0.67409,                0.84711,                0.64886,                  1.106,             0.00049504,             0.00049504,             0.00049504
                     49,                0.76994,                0.63321,                 1.0493,                0.88999,                0.78979,                0.86108,                 0.6676,                0.84886,                0.64596,                 1.0932,             0.00048604,             0.00048604,             0.00048604
                     50,                0.76292,                0.61854,                 1.0447,                 0.8589,                0.81396,                0.86176,                0.66886,                0.84559,                0.65083,                 1.1039,             0.00047704,             0.00047704,             0.00047704
                     51,                0.76168,                0.62482,                 1.0505,                0.85759,                0.81105,                0.85917,                0.66401,                0.85789,                0.66473,                 1.1135,             0.00046804,             0.00046804,             0.00046804
                     52,                0.75155,                0.61182,                 1.0422,                0.83718,                0.82847,                0.85701,                 0.6656,                0.85044,                0.65264,                 1.1039,             0.00045904,             0.00045904,             0.00045904
                     53,                0.74275,                0.59951,                 1.0349,                0.88759,                0.79563,                0.86267,                0.66035,                0.85198,                 0.6464,                 1.1067,             0.00045005,             0.00045005,             0.00045005
                     54,                0.74219,                0.60335,                  1.037,                0.82052,                0.83676,                0.85724,                0.66028,                0.84249,                0.66192,                 1.1104,             0.00044105,             0.00044105,             0.00044105
                     55,                0.73254,                0.59499,                 1.0373,                0.84003,                0.82755,                0.86315,                 0.6714,                0.83782,                0.62966,                 1.1022,             0.00043205,             0.00043205,             0.00043205
                     56,                0.73874,                0.59899,                 1.0388,                0.86461,                0.80741,                0.85953,                0.67091,                0.83952,                0.64125,                 1.1066,             0.00042305,             0.00042305,             0.00042305
                     57,                0.72351,                0.58373,                 1.0284,                0.87488,                0.80357,                0.85816,                 0.6717,                0.83282,                0.63552,                 1.1008,             0.00041405,             0.00041405,             0.00041405
                     58,                 0.7194,                0.57341,                 1.0264,                0.86014,                0.81281,                0.85831,                0.67422,                0.82966,                0.63023,                 1.0982,             0.00040505,             0.00040505,             0.00040505
                     59,                0.71678,                0.57001,                 1.0234,                0.87742,                0.81985,                0.86474,                0.68145,                0.82931,                0.62732,                  1.101,             0.00039605,             0.00039605,             0.00039605
                     60,                0.70941,                0.56999,                  1.023,                0.88098,                 0.8134,                 0.8666,                0.68608,                0.82203,                0.61858,                 1.0943,             0.00038705,             0.00038705,             0.00038705
                     61,                 0.7136,                0.56607,                   1.02,                0.84994,                0.83611,                0.85848,                0.67191,                0.83769,                0.62229,                 1.1111,             0.00037805,             0.00037805,             0.00037805
                     62,                0.69386,                0.55899,                 1.0118,                 0.8718,                0.82082,                0.87212,                  0.685,                0.82883,                 0.6187,                 1.0893,             0.00036905,             0.00036905,             0.00036905
                     63,                0.69238,                0.55336,                 1.0121,                0.87241,                 0.8168,                0.86662,                0.68345,                0.82881,                0.64081,                  1.101,             0.00036005,             0.00036005,             0.00036005
                     64,                0.68338,                0.54173,                 1.0111,                0.85823,                0.83019,                0.85967,                0.67703,                0.81885,                0.62811,                 1.1002,             0.00035106,             0.00035106,             0.00035106
                     65,                0.67768,                0.53431,                 1.0058,                0.86674,                0.82996,                0.86446,                0.68587,                0.82579,                0.61137,                 1.1137,             0.00034206,             0.00034206,             0.00034206
                     66,                0.68071,                 0.5365,                 1.0079,                0.84977,                0.82314,                0.85932,                0.67514,                 0.8346,                0.62511,                 1.1185,             0.00033306,             0.00033306,             0.00033306
