                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  0.827,                0.68478,                 1.1064,                0.78593,                0.59101,                0.68763,                0.45915,                  1.245,                 1.0952,                  1.352,             0.00061203,             0.00061203,             0.00061203
                     36,                0.80825,                0.66594,                 1.0917,                0.77137,                0.60321,                0.68036,                0.45994,                 1.1985,                 1.1324,                 1.3386,             0.00060303,             0.00060303,             0.00060303
                     37,                0.81274,                0.66661,                 1.0959,                0.76346,                0.65896,                0.70802,                0.47709,                 1.1949,                 1.0778,                 1.3424,             0.00059403,             0.00059403,             0.00059403
                     38,                0.80713,                 0.6652,                 1.0914,                0.76706,                0.64893,                0.71755,                0.48361,                  1.219,                 1.0829,                 1.3464,             0.00058503,             0.00058503,             0.00058503
                     39,                0.79405,                0.64702,                 1.0831,                 0.7402,                0.64909,                0.69763,                0.48016,                 1.2037,                 1.1082,                 1.3117,             0.00057603,             0.00057603,             0.00057603
                     40,                0.79484,                0.65203,                 1.0839,                0.75602,                0.63003,                 0.6957,                 0.4701,                 1.2239,                 1.1209,                 1.3441,             0.00056703,             0.00056703,             0.00056703
                     41,                0.78396,                0.63929,                 1.0753,                0.78152,                0.60919,                0.69208,                0.47325,                 1.2366,                 1.1745,                 1.3411,             0.00055804,             0.00055804,             0.00055804
                     42,                0.77418,                0.63169,                 1.0732,                0.76487,                0.62445,                0.69457,                0.47348,                 1.2308,                 1.1191,                 1.3574,             0.00054904,             0.00054904,             0.00054904
                     43,                0.77011,                0.62895,                 1.0699,                0.76703,                 0.6345,                0.69041,                0.46646,                 1.2272,                 1.1219,                 1.3645,             0.00054004,             0.00054004,             0.00054004
                     44,                0.75805,                0.60533,                 1.0643,                0.72784,                0.64722,                0.68144,                0.46604,                 1.1964,                 1.1069,                 1.3175,             0.00053104,             0.00053104,             0.00053104
                     45,                0.75564,                0.61749,                 1.0642,                0.78241,                0.62565,                0.70571,                0.48485,                 1.1882,                 1.0907,                 1.3083,             0.00052204,             0.00052204,             0.00052204
                     46,                0.75973,                 0.6125,                 1.0657,                0.77596,                0.62081,                0.68592,                0.46934,                 1.1977,                 1.1583,                 1.3376,             0.00051304,             0.00051304,             0.00051304
                     47,                0.73728,                0.58782,                 1.0563,                0.74869,                0.65103,                0.70161,                0.47884,                 1.1908,                 1.0866,                 1.3213,             0.00050404,             0.00050404,             0.00050404
                     48,                0.73798,                0.59109,                 1.0538,                 0.7984,                0.61622,                0.70369,                0.48566,                 1.1899,                 1.1047,                 1.3213,             0.00049504,             0.00049504,             0.00049504
                     49,                0.72728,                0.58506,                  1.054,                0.74687,                 0.6251,                0.68579,                0.47054,                 1.1918,                 1.1271,                 1.3142,             0.00048604,             0.00048604,             0.00048604
                     50,                0.72883,                0.57679,                 1.0473,                0.72358,                0.66766,                 0.7047,                0.48014,                 1.1916,                 1.1026,                 1.3446,             0.00047704,             0.00047704,             0.00047704
                     51,                0.72223,                0.57092,                 1.0476,                0.76492,                0.63889,                0.70325,                0.48298,                 1.1824,                 1.1035,                 1.3197,             0.00046804,             0.00046804,             0.00046804
                     52,                0.71478,                 0.5683,                 1.0415,                0.77173,                0.62671,                 0.7049,                0.48263,                 1.1923,                  1.115,                 1.3175,             0.00045904,             0.00045904,             0.00045904
                     53,                 0.7105,                0.56424,                 1.0389,                0.77049,                0.63732,                0.69615,                0.47626,                 1.1959,                 1.0886,                 1.3368,             0.00045005,             0.00045005,             0.00045005
                     54,                0.70926,                0.55858,                 1.0406,                0.75011,                0.63051,                0.69267,                0.48354,                 1.1905,                 1.0912,                 1.3244,             0.00044105,             0.00044105,             0.00044105
                     55,                 0.7051,                0.56177,                 1.0374,                0.77787,                 0.6359,                0.70932,                0.49738,                 1.1944,                 1.0908,                 1.3054,             0.00043205,             0.00043205,             0.00043205
                     56,                0.69667,                 0.5457,                  1.032,                0.79522,                0.64783,                 0.7144,                0.49688,                 1.1721,                   1.09,                 1.3092,             0.00042305,             0.00042305,             0.00042305
                     57,                0.68848,                0.54048,                 1.0285,                0.80054,                0.63603,                 0.7111,                0.49429,                 1.1921,                 1.1209,                 1.3312,             0.00041405,             0.00041405,             0.00041405
                     58,                0.67712,                0.53132,                 1.0237,                0.72381,                0.65137,                0.69327,                0.48299,                 1.1604,                 1.0973,                 1.3001,             0.00040505,             0.00040505,             0.00040505
                     59,                0.68553,                 0.5304,                 1.0196,                0.76327,                0.63284,                 0.6951,                0.48363,                 1.1887,                 1.0888,                 1.3273,             0.00039605,             0.00039605,             0.00039605
                     60,                0.68254,                 0.5331,                 1.0257,                0.76514,                0.64655,                0.70487,                0.48408,                  1.196,                 1.1078,                 1.3318,             0.00038705,             0.00038705,             0.00038705
                     61,                0.67257,                0.52619,                 1.0197,                0.76279,                0.63474,                0.70355,                0.49004,                 1.1848,                 1.1152,                 1.3286,             0.00037805,             0.00037805,             0.00037805
                     62,                0.66649,                0.51674,                 1.0173,                0.76511,                0.65476,                  0.707,                0.49144,                 1.1804,                 1.0948,                 1.3238,             0.00036905,             0.00036905,             0.00036905
                     63,                0.65833,                 0.5135,                 1.0156,                0.76111,                0.65152,                0.70384,                0.48996,                 1.1991,                 1.0758,                 1.3351,             0.00036005,             0.00036005,             0.00036005
                     64,                0.65653,                0.50882,                 1.0123,                0.76272,                0.64548,                0.70403,                0.48595,                 1.2202,                 1.1164,                 1.3592,             0.00035106,             0.00035106,             0.00035106
                     65,                 0.6496,                0.50069,                 1.0074,                0.77411,                0.63179,                0.69775,                0.48285,                 1.1837,                 1.0992,                 1.3275,             0.00034206,             0.00034206,             0.00034206
                     66,                0.64345,                0.50254,                 1.0062,                0.78255,                0.64602,                0.71307,                0.49661,                 1.1873,                 1.0963,                 1.3394,             0.00033306,             0.00033306,             0.00033306
                     67,                0.64674,                0.50279,                 1.0069,                0.74897,                0.67306,                0.70651,                0.49778,                 1.1729,                 1.1056,                 1.3188,             0.00032406,             0.00032406,             0.00032406
