                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86183,                 0.7454,                 1.1246,                0.87447,                0.83877,                0.87536,                0.67115,                 0.8973,                 0.7144,                 1.1098,             0.00061203,             0.00061203,             0.00061203
                     36,                0.85749,                0.74643,                 1.1192,                0.87538,                0.83707,                0.88387,                0.67324,                0.89455,                0.72074,                 1.1163,             0.00060303,             0.00060303,             0.00060303
                     37,                0.85122,                0.73665,                 1.1155,                 0.8629,                0.84094,                0.87873,                0.67162,                0.88844,                0.72165,                 1.1028,             0.00059403,             0.00059403,             0.00059403
                     38,                0.84584,                0.72564,                 1.1094,                0.90528,                 0.8294,                 0.8907,                0.67285,                0.91451,                0.68134,                 1.1247,             0.00058503,             0.00058503,             0.00058503
                     39,                0.83691,                 0.7163,                 1.1018,                0.86285,                0.85744,                 0.8928,                0.68091,                0.88567,                0.67576,                 1.1154,             0.00057603,             0.00057603,             0.00057603
                     40,                0.82451,                0.70976,                 1.0981,                0.84402,                0.86443,                0.88737,                0.67692,                0.89542,                0.67322,                 1.1182,             0.00056703,             0.00056703,             0.00056703
                     41,                0.82244,                0.69951,                 1.0969,                0.87247,                0.83622,                0.88169,                0.67852,                0.89808,                0.70495,                 1.1324,             0.00055804,             0.00055804,             0.00055804
                     42,                0.82347,                0.70418,                  1.104,                0.87756,                0.84797,                0.89181,                 0.6803,                0.89029,                0.67225,                  1.128,             0.00054904,             0.00054904,             0.00054904
                     43,                0.80688,                0.66902,                 1.0842,                0.87636,                0.84897,                0.89177,                0.68432,                0.87791,                0.68441,                  1.112,             0.00054004,             0.00054004,             0.00054004
                     44,                0.79632,                 0.6675,                 1.0832,                0.87949,                0.84006,                0.87901,                 0.6805,                0.85732,                0.70596,                  1.117,             0.00053104,             0.00053104,             0.00053104
                     45,                 0.8033,                 0.6761,                 1.0862,                0.89412,                0.84534,                0.88826,                0.68116,                0.88328,                0.67221,                 1.1082,             0.00052204,             0.00052204,             0.00052204
                     46,                0.79597,                0.66492,                 1.0829,                0.86322,                0.85609,                0.88925,                0.68473,                 0.8799,                0.67688,                  1.106,             0.00051304,             0.00051304,             0.00051304
                     47,                0.78076,                0.65198,                 1.0755,                0.84955,                0.85116,                0.88185,                0.67952,                0.86893,                0.66557,                 1.1187,             0.00050404,             0.00050404,             0.00050404
                     48,                0.78408,                0.64329,                 1.0716,                0.87469,                0.86094,                  0.891,                0.69246,                0.84765,                 0.6526,                 1.1058,             0.00049504,             0.00049504,             0.00049504
                     49,                 0.7745,                0.63953,                  1.068,                 0.8678,                0.84452,                0.88341,                0.68435,                0.85164,                0.68119,                 1.0991,             0.00048604,             0.00048604,             0.00048604
                     50,                0.77059,                0.63198,                 1.0705,                0.87557,                0.84806,                0.88807,                0.69274,                0.86185,                0.64334,                 1.1043,             0.00047704,             0.00047704,             0.00047704
                     51,                0.76328,                0.63283,                 1.0651,                0.87962,                0.85312,                0.89709,                0.69883,                0.86182,                0.65888,                 1.1108,             0.00046804,             0.00046804,             0.00046804
                     52,                0.76801,                 0.6313,                 1.0618,                0.88945,                0.85373,                0.89233,                0.69862,                0.84244,                0.65317,                 1.0882,             0.00045904,             0.00045904,             0.00045904
                     53,                0.74935,                0.61601,                 1.0572,                  0.868,                 0.8701,                0.88827,                0.69402,                0.84813,                0.65741,                 1.1054,             0.00045005,             0.00045005,             0.00045005
                     54,                0.75239,                0.61345,                 1.0592,                0.88202,                 0.8485,                0.89221,                0.69921,                 0.8453,                0.65185,                 1.1033,             0.00044105,             0.00044105,             0.00044105
                     55,                0.73676,                0.58954,                 1.0444,                0.88369,                0.86672,                0.89843,                 0.6991,                0.84097,                0.63866,                 1.0882,             0.00043205,             0.00043205,             0.00043205
                     56,                0.73039,                0.58152,                 1.0429,                0.89275,                0.85223,                0.89451,                0.69871,                0.84913,                 0.6448,                 1.0983,             0.00042305,             0.00042305,             0.00042305
                     57,                0.72597,                0.57805,                  1.036,                0.89158,                0.86198,                0.88982,                0.69987,                0.83897,                 0.6491,                    1.1,             0.00041405,             0.00041405,             0.00041405
                     58,                0.71177,                0.57761,                 1.0335,                0.90135,                0.85619,                0.89674,                0.70782,                0.84087,                 0.6316,                 1.1015,             0.00040505,             0.00040505,             0.00040505
                     59,                0.71365,                0.57154,                 1.0353,                0.88935,                0.85306,                0.89647,                0.70508,                 0.8246,                0.62019,                 1.1009,             0.00039605,             0.00039605,             0.00039605
                     60,                 0.7151,                0.56768,                 1.0367,                0.88928,                0.86676,                0.89479,                0.70448,                0.84019,                0.61898,                 1.1048,             0.00038705,             0.00038705,             0.00038705
                     61,                0.70662,                0.56578,                 1.0357,                0.87506,                0.87988,                0.89726,                0.70241,                0.83754,                0.61858,                 1.1098,             0.00037805,             0.00037805,             0.00037805
                     62,                0.70635,                0.56229,                 1.0311,                0.88261,                0.87442,                0.89269,                0.69969,                0.85219,                0.62278,                 1.1113,             0.00036905,             0.00036905,             0.00036905
                     63,                0.69738,                0.55501,                 1.0258,                0.87953,                0.86363,                 0.8909,                0.70779,                0.82451,                0.64081,                 1.1039,             0.00036005,             0.00036005,             0.00036005
                     64,                0.68633,                0.53638,                 1.0208,                0.88314,                0.86949,                0.90027,                0.71206,                0.82618,                0.60467,                 1.1063,             0.00035106,             0.00035106,             0.00035106
                     65,                0.68824,                0.54242,                 1.0235,                0.88447,                0.86353,                 0.9004,                0.71451,                0.81038,                0.61036,                 1.0836,             0.00034206,             0.00034206,             0.00034206
                     66,                0.68091,                0.53795,                 1.0199,                 0.8812,                0.87431,                0.90236,                0.71625,                0.82672,                0.61417,                 1.0998,             0.00033306,             0.00033306,             0.00033306
                     67,                0.67329,                0.52648,                 1.0167,                0.89264,                0.86618,                0.89869,                0.70995,                0.82674,                0.60418,                 1.1046,             0.00032406,             0.00032406,             0.00032406
                     68,                0.66857,                0.51922,                 1.0135,                0.88268,                0.87545,                0.89721,                0.71132,                0.82879,                0.61436,                 1.1074,             0.00031506,             0.00031506,             0.00031506
                     69,                0.66291,                0.51609,                 1.0075,                0.89907,                0.86236,                0.90045,                0.71451,                0.83833,                0.60919,                 1.1172,             0.00030606,             0.00030606,             0.00030606
                     70,                0.66049,                 0.5196,                 1.0073,                 0.8988,                0.85857,                0.89691,                0.71612,                0.80975,                0.61073,                 1.1063,             0.00029706,             0.00029706,             0.00029706
                     71,                0.65755,                0.51058,                 1.0085,                0.90436,                0.86094,                 0.8998,                0.71569,                0.80477,                0.59708,                  1.106,             0.00028806,             0.00028806,             0.00028806
                     72,                0.64779,                0.50482,                 1.0031,                0.88331,                0.88069,                0.90114,                0.71805,                0.81096,                0.61766,                 1.1019,             0.00027906,             0.00027906,             0.00027906
                     73,                0.64954,                0.51143,                 1.0027,                0.87341,                0.87071,                0.89637,                0.71671,                0.80825,                0.62511,                 1.1018,             0.00027006,             0.00027006,             0.00027006
                     74,                0.63909,                0.49695,                 1.0009,                0.89112,                0.86685,                0.89513,                0.71222,                0.81355,                0.61433,                 1.1057,             0.00026106,             0.00026106,             0.00026106
                     75,                0.63325,                0.49161,                0.99344,                0.87753,                0.87508,                0.89433,                0.71601,                0.81049,                0.62781,                  1.101,             0.00025207,             0.00025207,             0.00025207
                     76,                0.62676,                0.48244,                 0.9932,                0.88529,                0.88109,                 0.8968,                0.71667,                0.80114,                0.60755,                 1.1036,             0.00024307,             0.00024307,             0.00024307
                     77,                0.62819,                0.47902,                0.99338,                0.89251,                0.87043,                0.89865,                0.71759,                0.80666,                0.61387,                 1.1011,             0.00023407,             0.00023407,             0.00023407
                     78,                0.62388,                0.47435,                0.98771,                0.88863,                0.87954,                0.90126,                0.71661,                0.80962,                  0.617,                 1.1028,             0.00022507,             0.00022507,             0.00022507
                     79,                0.61653,                0.47439,                0.98973,                0.88673,                0.86764,                0.89472,                0.71859,                0.80942,                0.60573,                 1.1099,             0.00021607,             0.00021607,             0.00021607
                     80,                0.61621,                0.47865,                0.98853,                0.89828,                0.86066,                0.89824,                0.72087,                0.79601,                0.62067,                 1.0944,             0.00020707,             0.00020707,             0.00020707
                     81,                0.60729,                0.45834,                0.97876,                0.89289,                 0.8689,                0.90319,                0.72309,                0.80553,                0.62157,                 1.1067,             0.00019807,             0.00019807,             0.00019807
                     82,                0.59949,                 0.4628,                0.98108,                0.88952,                0.87699,                0.89703,                0.71793,                 0.8083,                0.62502,                 1.1126,             0.00018907,             0.00018907,             0.00018907
                     83,                 0.5991,                0.45854,                0.97898,                0.88702,                0.87601,                0.89962,                0.72058,                0.80087,                0.61528,                  1.107,             0.00018007,             0.00018007,             0.00018007
                     84,                 0.5954,                0.45182,                0.97767,                0.89129,                0.86084,                0.89424,                0.71806,                0.80395,                0.63295,                 1.1057,             0.00017107,             0.00017107,             0.00017107
                     85,                 0.5898,                0.45012,                0.97606,                0.88213,                0.87394,                0.89743,                0.72122,                0.79183,                0.62614,                 1.1038,             0.00016207,             0.00016207,             0.00016207
                     86,                0.58581,                0.44059,                0.97266,                0.88923,                  0.871,                0.89937,                0.72446,                0.80124,                0.63231,                 1.1084,             0.00015308,             0.00015308,             0.00015308
                     87,                0.58274,                0.44024,                0.97357,                0.90101,                0.86492,                0.89812,                0.72523,                0.79831,                 0.6206,                 1.1045,             0.00014408,             0.00014408,             0.00014408
